,timestamp,ego_vehicle_x,ego_vehicle_y,ego_vehicle_z,ego_vehicle_v,leader_vehicle_x,leader_vehicle_y,leader_vehicle_z,leader_vehicle_v
0,53797.22298688954,330.0004577636719,13.941811561584473,0.6852359771728516,0.4716423203925639,310.0037841796875,13.600478172302246,1.2654218673706055,0.47127457646240023
1,53797.27298689028,330.0003967285156,13.941808700561523,0.6794355511665344,0.392202575645704,310.00360107421875,13.60047435760498,1.259621262550354,0.3917492769168857
2,53797.32298689103,330.0002746582031,13.941804885864258,0.6746821999549866,0.31922602215985146,310.0034484863281,13.600472450256348,1.2548691034317017,0.3187869420872316
3,53797.37298689177,330.0001525878906,13.941802978515625,0.670856237411499,0.2555636869603934,310.0033264160156,13.600468635559082,1.2510449886322021,0.2551334012629539
4,53797.42298689252,330.0000305175781,13.941802978515625,0.6678200960159302,0.20196831943839277,310.0032043457031,13.600469589233398,1.2480096817016602,0.2016978508707483
5,53797.47298689326,330.0,13.941803932189941,0.6654369831085205,0.15796945034437826,310.0031433105469,13.600469589233398,1.245627522468567,0.1577526115881731
6,53797.52298689401,330.0,13.941803932189941,0.6635829210281372,0.1225599939711406,310.00311279296875,13.600470542907715,1.2437753677368164,0.12231424587422897
7,53797.57298689475,330.0,13.941803932189941,0.6621514558792114,0.09437603475353411,310.0030517578125,13.600470542907715,1.2423465251922607,0.09413171662784187
8,53797.6229868955,330.0000305175781,13.941803932189941,0.6610537767410278,0.07225421140632696,310.00299072265625,13.600472450256348,1.2412513494491577,0.07196751354955092
9,53797.67298689624,330.0000305175781,13.941804885864258,0.6602165102958679,0.055001343397282326,310.00299072265625,13.600472450256348,1.2404168844223022,0.054859100683622194
10,53797.72298689699,330.0000305175781,13.941804885864258,0.6595810055732727,0.04167275705574036,310.00299072265625,13.600472450256348,1.2397823333740234,0.04156229857737678
11,53797.77298689773,330.0000305175781,13.941804885864258,0.6591008901596069,0.03143243902760877,310.00299072265625,13.600473403930664,1.2393032312393188,0.03134344107308618
12,53797.82298689848,330.0000305175781,13.941804885864258,0.6587396264076233,0.023632087919185134,310.00299072265625,13.600473403930664,1.2393032312393188,0.0
13,53797.87298689922,330.0000305175781,13.941804885864258,0.6586792469024658,0.00722229205749951,310.00299072265625,13.600473403930664,1.238943338394165,0.009084937475395558
14,53797.92298689997,330.0000305175781,13.941804885864258,0.658556342124939,0.009422446334544345,310.00299072265625,13.600473403930664,1.2388007640838623,0.010680058682830437
15,53797.97298690071,330.0000305175781,13.941804885864258,0.6584216356277466,0.009744308654661984,310.00299072265625,13.600473403930664,1.2386523485183716,0.01056844573430133
16,53798.02298690146,330.0000305175781,13.941804885864258,0.6582915186882019,0.009097677159149956,310.00299072265625,13.600473403930664,1.2385144233703613,0.009633342580578953
17,53798.0729869022,330.0000305175781,13.941804885864258,0.6581751704216003,0.008017626589795969,310.00299072265625,13.600473403930664,1.2383923530578613,0.008352084469084729
18,53798.12298690295,330.0000305175781,13.941804885864258,0.6580754518508911,0.006791613916562785,310.00299072265625,13.600473403930664,1.2382886409759521,0.00703489775005186
19,53798.17298690369,330.0000305175781,13.941804885864258,0.6579923033714294,0.0056142951964914325,310.00299072265625,13.600473403930664,1.2382031679153442,0.005758186750138391
20,53798.22298690444,330.0000305175781,13.941803932189941,0.6579243540763855,0.004560672825974289,310.00299072265625,13.600473403930664,1.2381340265274048,0.004624913087436773
21,53798.272986905184,330.0000305175781,13.941803932189941,0.6578997373580933,0.001128438421637596,310.00299072265625,13.600473403930664,1.2381210327148438,0.0015638211216650484
22,53798.32298690593,330.0000305175781,13.941803932189941,0.6578768491744995,0.0018236108924633986,310.00299072265625,13.600473403930664,1.238093614578247,0.002139079139811611
23,53798.372986906674,330.0000305175781,13.941803932189941,0.6578494906425476,0.0020339605813530044,310.00299072265625,13.600473403930664,1.2380632162094116,0.00221518554629417
24,53798.42298690742,330.0000305175781,13.941803932189941,0.657821774482727,0.0019644510375900837,310.00299072265625,13.600473403930664,1.2380332946777344,0.00207001277528967
25,53798.472986908164,330.0000305175781,13.941804885864258,0.6577962636947632,0.001772526667347317,310.00299072265625,13.600473403930664,1.2380067110061646,0.0018179850349312238
26,53798.52298690891,330.0000305175781,13.941804885864258,0.6577739715576172,0.001526433071863421,310.00299072265625,13.600473403930664,1.2379837036132812,0.0015375371920393914
27,53798.572986909654,330.0000305175781,13.941804885864258,0.6577553153038025,0.0012600493966145293,310.00299072265625,13.600473403930664,1.2379640340805054,0.0013284629257512707
28,53798.6229869104,330.0000305175781,13.941804885864258,0.6577399373054504,0.0010301501523913904,310.00299072265625,13.600473403930664,1.2379484176635742,0.001023575664478062
29,53798.672986911144,330.0000305175781,13.941804885864258,0.6577399373054504,0.0,310.00299072265625,13.600473403930664,1.2379425764083862,0.00029376617554309015
30,53798.72298691189,330.0000305175781,13.941804885864258,0.6577272415161133,0.00036643807422133716,310.00299072265625,13.60047435760498,1.2379374504089355,0.00044131113674063027
31,53798.772986912634,330.0000305175781,13.941804885864258,0.6577216982841492,0.00043936358846945184,310.00299072265625,13.60047435760498,1.2379310131072998,0.0004688533946050614
32,53798.82298691338,330.0000305175781,13.941804885864258,0.6577157974243164,0.0004133794632044569,310.00299072265625,13.60047435760498,1.2379244565963745,0.0004750491018815488
33,53798.872986914124,330.0000305175781,13.941804885864258,0.6577102541923523,0.0003918135477240029,310.00299072265625,13.60047435760498,1.237918496131897,0.00042485704022959066
